Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,avg val received,avg val sent,total Ether sent,total ether received,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent token name, ERC20 uniq rec token name,unique_sent_addresses,unique_received_addresses,failed_tx_ratio,avg_gas_used,total_tx_count,sent_received_ratio,erc20_total_txs,address,FLAG,goplus_flags,source
134344.85,0.0,134345.88333333333,2,1,0,0.49,0.24470569,0.48941138,0.49,0.00025262,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,21000.0,3,2.0,0,0x42A777E0F24390E7ed461a7AF325526e53ac57d9,1,phishing_activities,real_world
2850.621212121212,2385.2916666666665,46637.03333333333,12,15,0,1.1308009100257077,1.4130531375321345,16.956637650385613,16.962013650385614,0.0,0.0,0.0,0.0,5.0,0.0,6.0,11,12,0.0,21000.0,27,0.8,7,0x4e790c545478029d20816a7212c46adde058d63e,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x5D840DB230c397AcC22ab28053d1a1fF7f14583E,1,phishing_activities,real_world
2329.8166666666666,0.0,2569.7833333333333,2,1,0,0.25,0.12483151,0.24966302,0.25,8.498e-05,0.0,0.0,0.0,1.0,0.0,1.0,2,1,0.0,21000.0,3,2.0,1,0x6cF481C7090D88CA6F1Fa3C9FFD0911Ef5359808,1,phishing_activities,real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,161641.0,1,0.0,0,0x73bb594368ddB778972C6f30b41437C897419C37,1,phishing_activities,real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0.0,1,0x7613a475b7fE61775f579Bc148300C8171EcCaE9,1,phishing_activities,real_world
8966.85,26338.625,111700.35,9,5,0,0.1984,0.1097355555555555,0.98762,0.992,3.3e-05,0.0,0.0,0.0,3.0,0.0,3.0,6,4,0.0,21000.0,14,1.8,3,0xBC83D48Dd0cd9c3F47Bab6436DeFeB334B563f4C,1,"stealing_attack,phishing_activities",real_world
6347.018627450981,4059.741025641025,108499.81666666668,18,27,0,0.6944142970354038,1.041087584816231,18.73957652669216,18.749186019955904,0.0009154932637439,0.0,0.0,0.0,3.0,0.0,3.0,13,17,0.0,21000.0,45,0.6666666666666666,3,0xbca6294a6c80ee0f20173547b8d85d4948a0cb39,1,"stealing_attack,phishing_activities",real_world
12532.035555555552,12531.654444444444,187986.2,16,16,0,17.847791187499997,17.8470456875,285.55273100000005,285.56465900000006,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7,15,0.0,21000.0,32,1.0,3,0xbeEbe66b6A511dD2acCBfF7F258554dbe97f1294,1,phishing_activities,real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0xea7380369af53598a55b4622909cd9633e0ae7fa,1,phishing_activities,real_world
372873.0833333333,117.41111111111113,2237241.466666667,7,4,0,2.5982875400000003,1.4845287371428568,10.391701159999998,10.39315016,0.000170157013257,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.0,21000.0,11,1.75,0,0xfE9B7DB8d9D57E9ad9341bCf51B110Ba5d27b48B,1,phishing_activities,real_world
289.68333333333334,44.4,870.9666666666667,4,18,0,0.9488165272222222,4.2690831225,17.07633249,17.078697489999996,0.000559,0.0,0.0,0.0,0.0,0.0,0.0,4,12,0.0,21000.0,22,0.2222222222222222,0,0x08389B19ad52f0d983609ab785b3a43A0E90355F,1,"phishing_activities,cybercrime",real_world
0.0,2482.5858695652173,114198.95,0,47,0,1.7696382978723402,0.0,0.0,83.173,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,15,0.0,84042.54166666667,48,0.0,1,0x4114FB8B1879f61b18f7d2E623569a847a03e15A,1,phishing_activities,real_world
6973.638888888888,6975.022222222222,20932.0,4,4,0,0.2343279540463999,0.2334879540464,0.9339518161856,0.9373118161856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0.0,21000.0,8,1.0,0,0x3c3b85b2ae785a8cc16c3d4df12cb27c6983dff5,1,phishing_activities,real_world
54087.25,392.26666666666665,54339.5,2,2,0,2.5000000000000004,2.4995170000000004,4.999034000000001,5.000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,2,0.0,21000.0,4,1.0,1,0x35ad1cb9a39de486cebcce3cf51661fd6c848193,1,"stealing_attack,phishing_activities",real_world
18791.63333333333,64323.583333333336,76539.16666666667,5,2,0,0.45,0.1795168,0.897584,0.9,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0,21000.0,7,2.5,0,0x15f4a5d5bbc071fc20bd60b9b7d81aaa8a1142ab,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0xa2a6ceadcb7db611f618ebabfe6de5763953b7c7,1,"stealing_attack,phishing_activities",real_world
3594.393333333333,3594.853333333333,17983.133333333335,6,6,0,0.2363857483333333,0.2354757483333333,1.4128544900000002,1.4183144900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0.0,21000.0,12,1.0,0,0xe4faeef4002c200d9d4f1d381ccb5fb679d1c437,1,"stealing_attack,phishing_activities",real_world
